Date,Author,Gender,Position,Affiliation,Paper_Id,Topic,Publisher,Type,Venue,#IF,#CO-Authors,#Citations
2017/1/1,G. Li,Male,Prof.,THU,#DBLP-2,Database,ACM,Conf.,SIGMOD,6.4,5,123
2017/2/1,G. Li,Male,Prof.,THU,#DBLP-3,Crowdsourcing,VLDB Endowment Inc.,Conf.,VLDB,2.4,3,312
2018/1/1,X. Qing,Female,PhD,THU,#DBLP-4,Visualization,IEEE,Jour.,TKDE,10.3,3,32
2018/1/2,W. Han,Male,Prof.,UIUC,#DBLP-5,Data Mining,ACM,Conf.,KDD,23.3,4,213
2016/1/3,D. Yuan,Female,PhD,HKUST,#DBLP-6,Visualization,ACM,Conf.,SIGMOD,0.64,3,32
2018/1/4,G. Yuan,Female,PhD,HKUST,#DBLP-7,Visualization,ACM,Conf.,SIGMOD,0.64,3,32
2018/1/5,N. Tang,Male,Researcher,QCRI,#DBLP-8,Database,IEEE,Jour.,TKDE,10.3,3,32
2018/1/6,S. Shang,Male,Prof.,THU,#DBLP-9,Crowdsourcing,VLDB Endowment Inc.,Conf.,VLDB,2.4,3,312
2018/1/7,Z. Liu,Male,Researcher,MSRA,#DBLP-10,Visualization,ACM,Conf.,ICDE,0.64,3,32
2018/1/8,Y. Zheng,Male,PhD,HKU,#DBLP-11,Data Mining,ACM,Conf.,KDD,23.3,4,52
2018/1/9,Y. Luo,Male,PhD,UESTC,#DBLP-12,Deep Learning,ACM,Conf.,KDD,23.3,2,310
2016/1/10,G. Xiu,Female,PhD,HIT,#DBLP-13,H-C Interaction,ACM,Conf.,CHI,23.1,3,1
2017/1/11,W. Han,Male,Prof.,UIUC,#DBLP-14,Data Mining,ACM,Conf.,ICDE,5.42,8,312
2018/1/12,L. Luo,Male,PhD,Standford,#DBLP-15,Data Mining,ACM,Conf.,SIGIR,12.3,3,123
2018/1/13,L. Liu,Female,Prof.,MIT,#DBLP-16,Database,VLDB Endowment Inc.,Jour.,VLDBJ,5.3,4,12
2017/1/14,R. Li,Male,PhD,UCB,#DBLP-17,Visualization,ACM,Conf.,SIGMOD,0.64,3,32
2016/1/15,W. Han,Male,Prof.,UIUC,#DBLP-18,Data Mining,Springer,Book,Springer,23.3,4,213
